# TRAINING SET INDEX";"SMILES";"NAME";"MW";"LogS(mols/L)";"REFERENCE";
444;"O(C)c1cc(cc(OC)c1OC)Cc1c[nH0]c(N)[nH0]c1N";"Trimethoprim";290.36;-2.86;25;
445;"c1ccc2c(c1)c1ccccc1c1ccccc21";"Triphenylene";228.3;-6.74;25;
446;"OC[C@@H](O[C@H]([nH0]1ccc2c1[nH0]c[nH0]c2N)[C@H](O)[C@H](O)1)1";"Tubercidin";266.29;-1.95;25;
447;"O=C1NC=CC(=O)N1";"Uracil";112.1;-1.48;25;
448;"O=C(O)/C=Cc1[nH0]c[nH]c1";"Urocanicacid";138.14;-1.96;25;
449;"S([P]([O-])(OC)OC)CCS[C@H](C)C(=O)NC";"Vamidothion";287.38;1.144;26;
450;"O=C(O)c1ccc(O)c(OC)c1";"Vanillicacid";168.16;-2.05;25;
451;"Clc1cc(Cl)cc(N2C(=O)O[C@](C)(C=C)C2=O)c1";"Vinclozolin";286.12;-4.925;26;
452;"O=C(O)CCCCCCCCCCC";"Vulvicacid";200.36;-4.62;25;
453;"O=C1Oc2ccccc2C(O)=C1[C@@H](CC(=O)C)c1ccccc1";"Warfarin";308.35;-3.89;25;
454;"Clc1cc(O)c(cc1[S]([O-])([O-])N)C(=O)Nc1c(C)cccc1C";"Xipamide";354.84;-3.79;25;
455;"Ic1cccc(c1)C(=O)O";"m-Iodobenzoicacid";248.02;-3.27;25;
456;"Clc1cccc(c1)C(=O)O";"m-chlorobenzoicacid";156.57;-2.59;25;
#457;"O=[N]([O-])c1cccc(c1)C(=O)O";"m-nitrobenzoicacid";167.12;-1.738;24;
458;"O=C(O)c1cccc(C)c1";"m-toluicacid";136.16;-2.14;25;
459;"O=C(O)c1ccccc1NC";"n-Methylanthranilicacid";151.18;-2.88;25;
460;"[S]([O-])([O-])(N)c1ccc(NC(=O)C)cc1";"n-acetylsulfanilamide";214.27;-1.61;25;
461;"O=C(O)CNC(=O)CN";"n-glycylglycine";132.12;0.127;24;
462;"O=C1N(C)C=CC=C1";"n-methyl-2-pyridone";109.14;0.96;25;
463;"O=C(N(C)c1ccccc1)C";"n-methylacetanilide";149.21;-0.95;25;
464;"O=C(N)NC";"n-methylurea";74.1;1.13;25;
465;"Ic1ccccc1C(=O)O";"o-Iodobenzoicacid";248.02;-2.73;25;
466;"O=C(OCc1ccccc1)N";"o-benzylcarbamate";151.18;-0.35;25;
467;"Oc1ccccc1C";"o-cresol";108.15;-0.62;25;
468;"O=C(OCC(C)C)N";"o-isobutylcarbamate";117.17;-0.3;25;
#469;"O=[N]([O-])c1ccccc1C(=O)O";"o-nitrobenzoicacid";167.12;-1.353;24;
470;"O=C(OC(C)(C)C)N";"o-t-butylcarbamate";117.17;0.1;25;
471;"O=C(CC)c1ccc(N)cc1";"p-Aminopropiophenone";149.21;-2.63;25;
472;"Ic1ccc(Br)cc1";"p-Bromoiodobenzene";282.9;-4.56;26;
#473;"Clc1ccc([N](=O)[O-])cc1";"p-Chloronitrobenzene";157.56;-2.92;26;
474;"Brc1ccc(N)cc1[S]([O-])([O-])O";"p-bromoaniline-m-sulphonicacid";252.09;-1.389;24;
475;"Clc1ccc(cc1)C(=O)O";"p-chlorobenzoicacid";156.57;-3.31;25;
476;"Oc1ccc(C)cc1";"p-cresol";108.15;-0.7;25;
477;"O=Cc1ccc(O)cc1";"p-hydroxybenzaldehyde";122.13;-0.96;25;
478;"O=C(O)c1ccc(O)cc1";"p-hydroxybenzoicacid";138.13;-1.41;25;
479;"OCc1ccc(C)cc1";"p-methylbenzylalcohol";122.18;-1.2;25;
#480;"O=[N]([O-])c1ccc(N)cc1";"p-nitroaniline";138.13;-2.376;24;
481;"Oc1ccc(cc1)c1ccccc1";"p-phenylphenol";170.22;-3.48;25;
482;"Oc1ccc(cc1)C(C)(C)C";"p-t-butylphenol";150.24;-2.41;25;
483;"c1ccc(cc1)c1ccc(cc1)c1ccccc1";"p-terphenyl";230.32;-7.11;25;
484;"Brc1cccc(Br)c1Br";"1,2,3-tribromobenzene";314.79;-5.04;25;
485;"Brc1cc(Br)c(Br)cc1Br";"1,2,4,5-Tetrabromobenzene";393.68;-6.98;26;
486;"Brc1ccc(Br)c(Br)c1";"1,2,4-tribromobenzene";314.79;-4.5;25;
487;"Nc1ccccc1N";"1,2-benzenediamine";108.16;-0.42;25;
488;"Oc1ccccc1O";"1,2-benzenediol";110.12;0.62;25;
489;"ClN1C(=O)N(Cl)C(C)(C)C1=O";"1,3-Dichloro-5,5-dimethylhydantoin";197.03;-2.6;25;
490;"Oc1cccc(O)c1";"1,3-benzenediol";110.12;0.81;25;
491;"S=C(NCC)NCC";"1,3-diethylthiourea";132.26;-1.46;25;
492;"Cc1ccc(C)c2c(C)cccc12";"1,4,5-trimethylnaphthalene";170.27;-4.92;25;
493;"Nc1ccc(N)cc1";"1,4-benzenediamine";108.16;-0.38;25;
494;"Brc1ccc(Br)cc1";"1,4-dibromobenzene";235.9;-4.07;25;
495;"Cc1cccc2c(C)cccc12";"1,5-dimethylnaphthalene";156.24;-4.74;25;
496;"[nH0]1cc[nH0]c2c1ccc1ccccc12";"1,7-phenantroline";180.22;-2.68;25;
497;"O=C(N)NC(=O)C";"1-Acetylurea";102.11;-0.9;25;
498;"Oc1c2ccccc2cc2ccccc21";"1-Anthranol";194.24;-4.73;25;
499;"ClC1=C(Cl)[C@@](Cl)([C@H]([C@H](C=C[C@H](O)2)[C@](Cl)1(C1(Cl)Cl))2)1";"1-Hydroxychlordene";354.86;-5.46;25;
500;"Cc1cccc2c1ccc1ccccc12";"1-Methylphenanthrene";192.27;-5.85;26;
501;"Cc1cccc2c3ccccc3Cc21";"1-methylfluorene";180.26;-5.22;25;
502;"O=C1NC(=O)C=CN1C";"1-methyluracil";126.13;-0.8;25;
503;"O=C(O)Cc1cccc2ccccc21";"1-naphthaceneaceticacid";186.22;-2.65;25;
504;"S=C=Nc1cccc2ccccc12";"1-naphthylisothiocyanate";185.26;-4.6;25;
#505;"O=[N]([O-])c1cccc2ccccc12";"1-nitronaphthalene";173.18;-3.54;25;
506;"O=NN(C)C(=O)N";"1-nitroso-1-methylurea";103.1;-0.85;25;
507;"O=C(O)CCCCCCCCCCN";"11-Aminoundecanoicacid";201.35;-2.7;25;
508;"[nH]1c2c(ccc3ccccc23)c2ccc3ccccc3c12";"13H-dibenzo(a,i)carbazole";267.34;-7.42;25;
509;"O=C1C=C2CC[C@H]([C@@H](CC[C@@](O)(C(=O)C)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3";"17-a-hydroxyprogesterone";330.51;-4.71;25;
510;"O=C1C=C2CC[C@H]([C@@H](CC[C@@](O)(C)[C@](C)(CC[C@@H]3([C@](C)(CC1)2))1)1)3";"17-methyltestosterone";302.5;-3.99;25;
511;"Clc1cc(Cl)c(c(Cl)c1)c1c(Cl)cccc1Cl";"2,2,4,6,6?-PCB";326.42;-7.32;25;
512;"O=C(OCC(C)(COC(=O)N)CCC)N";"2,2-di(carbamoyloxymethyl)pentane";218.25;-1.699;24;
513;"OCC(C)(C)C";"2,2-dimethyl-1-propanol";88.17;-0.4;25;
514;"Clc1ccc(c(Cl)c1Cl)c1c(Cl)cc(Cl)c(Cl)c1Cl";"2,2?,3,3?,4,4?,6-PCB";395.3;-8.3;25;
515;"Clc1cc(Cl)c(Cl)c(c1Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl";"2,2?,3,3?,4,5,5?,6,6?-PCB";464.18;-10.41;25;
516;"Clc1cccc(c1Cl)c1cc(Cl)c(Cl)c(Cl)c1Cl";"2,2?,3,3?,4,5-PCB";360.86;-8.42;25;
517;"Clc1ccc(cc1Cl)c1ccc(Cl)c(Cl)c1Cl";"2,2?,3,3?,4-PCB";326.42;-7.05;25;
518;"Clc1cc(Cl)c(Cl)c(c1Cl)c1c(Cl)c(Cl)cc(Cl)c1Cl";"2,2?,3,3?,5,5?,6,6?-PCB";429.74;-9.15;25;
519;"Clc1cc(Cl)c(Cl)c(c1)c1cc(Cl)c(Cl)cc1Cl";"2,2?,3,3?,5?,6-PCB";360.86;-8.6;25;
520;"Clc1cc(Cl)c(cc1Cl)c1c(Cl)ccc(Cl)c1Cl";"2,2?,3,3?,6,6?-PCB";360.86;-8.65;25;
521;"Clc1cccc(c1Cl)c1cccc(Cl)c1Cl";"2,2?,3,3?-PCB";291.98;-7.28;25;
522;"Clc1cc(Cl)c(cc1Cl)c1c(Cl)cc(Cl)c(Cl)c1Cl";"2,2?,3,4,4?,5?,6-PCB";395.3;-7.92;25;
523;"Clc1ccc(Cl)c(c1)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl";"2,2?,3,4,5,5?,6-PCB";395.3;-8.94;25;
524;"Clc1ccc(Cl)c(c1)c1cc(Cl)c(Cl)c(Cl)c1Cl";"2,2?,3,4,5,5?-PCB";360.86;-7.68;25;
525;"Clc1cc(c(Cl)c(Cl)c1Cl)c1ccccc1Cl";"2,2?,3,4,5-PCB";326.42;-7.21;25;
526;"Clc1ccc(Cl)c(c1)c1ccc(Cl)c(Cl)c1Cl";"2,2?,3,4,5?-PCB";326.42;-7.91;25;
527;"Clc1ccc(Cl)c(c1)c1c(Cl)c(Cl)cc(Cl)c1Cl";"2,2?,3,5,5?,6-PCB";360.86;-7.42;25;
528;"Clc1cc(Cl)c(c(Cl)c1)c1cc(Cl)cc(Cl)c1Cl";"2,2?,4,4?,6,6?-PCB";360.86;-8.71;25;
529;"Clc1ccc(c(Cl)c1)c1ccc(Cl)cc1Cl";"2,2?,4,4?-PCB";291.98;-6.51;25;
530;"Clc1cc(Cl)c(cc1Cl)c1cc(Cl)c(Cl)cc1Cl";"2,2?,4,4?5,5?-PCB";360.86;-8.56;25;
531;"Clc1ccc(c(Cl)c1)c1cc(Cl)ccc1Cl";"2,2?,4,5?-PCB";291.98;-6.57;25;
532;"Clc1ccc(Cl)c(c1)c1cc(Cl)ccc1Cl";"2,2?,5,5?-PCB";291.98;-7;25;
533;"Clc1ccc(Cl)c(c1)c1c(Cl)cccc1Cl";"2,2?,5,6?-PCB";291.98;-6.8;25;
534;"Clc1ccc(Cl)c(c1)c1ccccc1Cl";"2,2?,5-PCB";257.54;-6.02;25;
535;"Clc1cccc(Cl)c1c1c(Cl)cccc1Cl";"2,2?,6,6?-PCB";291.98;-7.39;25;
536;"Clc1ccccc1c1ccccc1Cl";"2,2?-PCB";223.1;-5.27;25;
537;"Clc1ccc(c(Cl)c1)c1cc(Cl)c(Cl)c(Cl)c1Cl";"2,3',4,4',5-PCB";360.86;-7.39;26;
538;"Clc1ccc(c(Cl)c1)c1ccc(Cl)c(Cl)c1Cl";"2,3',4,4'-PCB";326.42;-7.8;26;
539;"OC(C)(C)C(C)(C)C";"2,3,3-trimethyl-2-butanol";116.23;-0.72;25;
540;"Clc1ccc(cc1Cl)c1cc(Cl)c(Cl)c(Cl)c1Cl";"2,3,3?,4,4?,5-PCB";360.86;-7.82;25;
541;"Clc1ccc(cc1Cl)c1c(Cl)cc(Cl)c(Cl)c1Cl";"2,3,3?,4,4?6-PCB";360.86;-7.66;25;
542;"Clc1c(Cl)c(Cl)c(c2ccccc2)c(Cl)c1Cl";"2,3,4,5,6-PCB";326.42;-7.92;25;
543;"Clc1cc(Cl)c(O)c(Cl)c1Cl";"2,3,4,6-Tetrachlorophenol";231.88;-3.1;26;
544;"Clc1ccc(cc1)c1cccc(Cl)c1Cl";"2,3,4?-PCB";257.54;-6.26;25;
545;"Clc1cc(Cl)c(Cl)c(O)c1Cl";"2,3,5,6-Tetrachlorophenol";231.88;-3.37;26;
546;"Clc1ccc(Cl)c(c2ccccc2)c1Cl";"2,3,6-PCB";257.54;-6.29;25;
547;"Clc1ccc(cc1Cl)c1cc(Cl)c(Cl)cc1Cl";"2,3?,4,4?,5-PCB";326.42;-7.39;25;
548;"Clc1ccc(Cl)c(c1)c1ccc(Cl)c(Cl)c1";"2,3?,4?,5-PCB";291.98;-7.25;25;
549;"Clc1cccc(c1)c1cc(Cl)ccc1Cl";"2,3?,5-PCB";257.54;-6.01;25;
550;"Clc1ccc(cc1)c1ccc(Cl)cc1Cl";"2,4,4?-PCB";257.54;-6.21;25;
551;"Clc1cc(Cl)c(cc1Cl)c1ccccc1";"2,4,5-PCB";257.54;-6.27;25;
552;"Clc1cc(Cl)c(O)cc1Cl";"2,4,5-trichlorophenol";197.44;-2.21;25;
553;"Clc1cc(Cl)c(OCC(=O)O)cc1Cl";"2,4,5-trichlorophenoxyaceticacid";255.49;-2.965;24;
554;"Clc1cc(Cl)c(c(Cl)c1)c1ccccc1";"2,4,6-PCB";257.54;-6.14;25;
555;"[nH0]1c(C)cc(C)c2ccccc12";"2,4-Dimethylquinoline";157.23;-1.94;25;
556;"Clc1ccc(O)c(Cl)c1";"2,4-dichlorophenol";163;-1.55;25;
557;"Clc1ccc(OCC(=O)O)c(Cl)c1";"2,4-dichlorophenoxyaceticacid";221.04;-2.507;24;
558;"Clc1ccc(cc1)c1cc(Cl)ccc1Cl";"2,4?,5-PCB";257.54;-6.25;25;
559;"Clc1ccc(cc1)c1ccccc1Cl";"2,4?-PCB";223.1;-5.28;25;
560;"O=C(O)c1[nH0]cc(cc1)C(=O)O";"2,5-Pyridinedicarboxylicacid";167.12;-2.14;24;
561;"O=C1C=CC(=O)C=C1";"2,5-cyclohexadiene-1,4-dione";108.1;-0.99;25;
562;"Clc1cccc(Cl)c1C#N";"2,6-dichlorobenzonitrile";172.01;-4.24;25;
563;"Clc1cccc(Cl)c1CO";"2,6-dichlorobenzylalcohol";177.03;-2.1;25;
564;"Cc1ccc2cc(C)ccc2c1";"2,6-dimethylnaphthalene";156.24;-4.89;25;
565;"[nH0]1c(C)ccc2ccc(C)cc12";"2,7-Dimethylquinoline";157.23;-1.94;25;
566;"Oc1[nH0]c2ccccc2c(O)c1";"2-(1H)quinolinone";161.17;-2.14;25;
567;"Clc1ccc(O[C@H](C)C(=O)O)c(C)c1";"2-(2-Methyl-4-chlorophenoxy)propionicacid";214.65;-2.38;24;
568;"s1c2cc(C)ccc2[nH0]c1c1ccc(N)cc1";"2-(4-Aminophenyl)-6-methyl-benzothiazole";240.35;-3.68;25;
569;"Clc1ccccc1OC";"2-Chloroanisole";142.59;-2.46;26;
570;"Clc1ccccc1OCC(=O)O";"2-Chlorophenoxyaceticacid";186.6;-2.16;25;
571;"OC[C@@H](CC)[C@H](O)CCC";"2-Ethyl-1,3-hexanediol";146.26;-0.54;25;
572;"Oc1[nH0]cccc1";"2-Hydroxypyridine";95.11;1.02;25;
573;"O(C)c1[nH0]c[nH0]c2[nH0]cc[nH0]c12";"2-Methoxypteridine";162.17;-1.11;25;
574;"Cc1ccc2c(ccc3ccccc32)c1";"2-Methylphenanthrene";192.27;-5.84;26;
575;"Oc1ccccc1N";"2-aminophenol";109.14;-0.72;25;
576;"s1cc[nH0]c1N";"2-aminothiazole";100.16;-0.36;25;
577;"Brc1ccc2ccccc2c1";"2-bromonaphthalene";207.07;-4.4;25;
578;"Clc1ccccc1NC(=O)C";"2-chloroacetanilide";169.62;-1.4;25;
579;"Clc1ccccc1c1ccccc1";"2-chlorobiphenyl";188.66;-4.54;25;
580;"O=C1NC(=O)[C@@](CC1)(CC)c1ccccc1";"2-ethyl-2-phenylgluterimide";217.29;-2.34;25;
581;"CCc1ccc2cc3ccccc3cc2c1";"2-ethylanthracene";206.3;-6.89;25;
582;"O=C(O)c1occc1";"2-furoicacid";112.09;-0.48;25;
583;"O=C(Nc1ccccc1O)C";"2-hydroxyacetanilide";151.18;-2.24;25;
584;"O=C(N)c1ccccc1O";"2-hydroxybenzoicacidamide";137.14;-1.772;24;
585;"Sc1sc2ccccc2[nH0]1";"2-mercaptobenzothiazole";167.27;-3.18;25;
586;"Cc1ccc2cc3ccccc3cc2c1";"2-methylanthracene";192.27;-6.96;25;
587;"Cc1ccc2ccccc2c1";"2-methylnaphthalene";142.21;-3.77;25;
588;"Oc1ccc2ccccc2c1";"2-naphthol";144.18;-2.28;25;
#589;"O=[N]([O-])c1ccccc1N";"2-nitroaniline";138.14;-1.96;25;
#590;"O=[N]([O-])c1ccccc1O";"2-nitrophenol";139.12;-1.74;25;
591;"Oc1ccccc1c1ccccc1";"2-phenylphenol";170.22;-2.39;25;
592;"O=C(N)c1[nH0]cc[nH0]c1";"2-pyrazinecarboxamide";123.13;-0.91;25;
593;"[S]([O-])([O-])(N)c1ccccc1C";"2-toluenesulfonamide";171.24;-2.02;25;
594;"Clc1cc(ccc1N)c1ccc(N)c(Cl)c1";"3,3?-dichlorobenzidine";253.14;-4.92;25;
595;"Clc1ccc(cc1Cl)c1ccccc1";"3,4-PCB";223.1;-6.39;25;
596;"Oc1ccc(C)c(C)c1";"3,4-Xylenol";122.18;-1.41;25;
597;"O=C(O)c1c[nH0]ccc1C(=O)O";"3,4-pyridinedicarboxylicacid";167.12;-1.857;24;
598;"Ic1cc(I)c(O)c(c1)C(=O)O";"3,5-Diiodosalicylicacid";389.91;-3.31;25;
599;"Oc1cc(C)cc(C)c1";"3,5-dimethylphenol";122.18;-1.4;25;
#600;"O=[N]([O-])c1cc([N](=O)[O-])cc(c1)C(=O)O";"3,5-dinitrobenzoicacid";212.12;-2.334;24;
601;"O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COC(=O)CCC";"3-Butanoyloxymethylphenytoin";352.42;-5.071;26;
602;"O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COC(=O)C";"3-Ethanoyloxymethylphenytoin";324.36;-4.47;26;
603;"O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COC(=O)CCCCCC";"3-Heptanoyloxymethylphenytoin";394.51;-6.301;26;
604;"O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COC(=O)CCCCC";"3-Hexanoyloxymethylphenyltoin";380.48;-5.886;26;
605;"O=C1CCC[C@H](C)C1";"3-Methylcyclohexanone";112.19;-1.87;25;
606;"Clc1cccc(O)c1";"3-chlorophenol";128.56;-0.7;25;
607;"ClCC#CCOC(=O)Nc1cccc(Cl)c1";"3-chlorophenylcarbamicacidchloro-2-butynylester";258.11;-4.371;24;
608;"Oc1[nH0]oc(C)c1";"3-hydroxy-5-methylisoxazole";99.1;-0.07;25;
609;"Clc1ccc(O)cc1C";"3-methyl-4-chlorophenol";142.59;-1.57;25;
610;"O=C(Nc1cccc(C)c1)C";"3-methylacetanilide";149.21;-2.09;25;
611;"Cc1ccc2cc3c(ccc4ccccc43)c3CCc1c32";"3-methylcholanthrene";268.37;-7.92;25;
#612;"O=[N]([O-])c1cccc(N)c1";"3-nitroaniline";138.14;-2.19;25;
#613;"O=[N]([O-])c1cccc(O)c1";"3-nitrophenol";139.12;-1.01;25;
614;"Clc1ccc(cc1)c1ccc(Cl)cc1";"4,4?-PCB";223.1;-6.56;25;
615;"Clc1cc(Cl)c(Cl)c2[nH0]s[nH0]c21";"4,5,7-Trichloro-2,1,3-benzothiadiazole";239.51;-4.98;25;
616;"Clc1ccc(OC)cc1";"4-Chloroanisole";142.59;-2.78;26;
617;"Oc1ccc(CCCCCC)c(O)c1";"4-Hexylresorcinol";194.3;-2.59;25;
618;"O=C(Nc1ccc(N)cc1)C";"4-aminoacetanilide";150.2;-0.98;25;
619;"Oc1ccc(N)cc1";"4-aminophenol";109.14;-0.8;25;
620;"Brc1ccc(NC(=O)C)cc1";"4-bromoacetanilide";214.07;-3.08;25;
621;"Brc1ccc(O)cc1";"4-bromophenol";173.01;-1.09;25;
622;"Clc1ccc(O)c(C)c1";"4-chloro-2-methyl-phenol";142.59;-1.319;24;
623;"Clc1ccc(OCC(=O)O)c(C)c1";"4-chloro-2-methylphenoxyaceticacid";200.62;-2.183;24;
624;"Clc1c(C)cc(O)cc1C";"4-chloro-3,5-dimethyl-phenol";156.62;-2.8;25;
625;"Clc1ccc(N)cc1";"4-chloroaniline";127.58;-1.66;25;
626;"Clc1ccc(OCC(=O)O)cc1";"4-chlorophenoxyaceticacid";186.6;-2.408;24;
627;"O=C1N(N(C)C(C)=C1N(C)C)c1ccccc1";"4-dimethylaminoantipyrine";231.3;-0.662;24;
628;"O=Cc1ccc(NC(=O)C)cc1";"4-formylacetanilide";163.19;-1.58;25;
629;"O=C(Nc1ccc(O)cc1)C";"4-hydroxyacetanilide";151.18;-1.03;25;
630;"Ic1ccc(NC(=O)C)cc1";"4-iodoacetanilide";261.07;-3.25;25;
631;"Nc1ccc(C)cc1";"4-methylaniline";107.17;-1.21;25;
632;"O=C(O)c1ccc(C)cc1";"4-methylbenzoicacid";136.15;-2.565;24;
#633;"O=[N]([O-])c1ccc(NC(=O)C)cc1";"4-nitroacetanilide";180.18;-2.69;25;
#634;"O=[N]([O-])c1ccc(cc1)C(=O)O";"4-nitrobenzoicacid";167.13;-2.8;25;
#635;"O=[N]([O-])c1ccc(O)cc1";"4-nitrophenol";139.12;-0.74;25;
#636;"O=[N]([O-])c1ccc(C)cc1";"4-nitrotoluene";137.15;-2.49;25;
637;"[S]([O-])([O-])(N)c1ccc(C)cc1";"4-toluenesulfonamide";171.24;-1.74;25;
638;"O=C1NC(=O)C(C(=O)N1)(C(C)C)C(C)C";"5,5-Diisopropylbarbital";212.28;-2.766;26;
639;"O=C1NC(=O)C(C)(C)C(=O)N1";"5,5-Dimethylbarbituricacid";156.16;-1.742;26;
640;"O=C1NC(=O)C(CC)(CC)C(=O)N1";"5,5-diethylbarbituricacid";184.2;-1.411;24;
641;"Cc1c(C)c2c3ccccc3ccc2c2ccccc12";"5,6-Dimethylchrysene";256.36;-7.01;26;
642;"O=C1NC(=O)C(CC=C(C)C)(C(=O)N1)C(C)C";"5-(3-Methyl-2-butenyl)-5-isoPrbarbital";238.32;-2.593;26;
643;"O=C1NC(=O)C(CC)(CC=C)C(=O)N1";"5-Allyl-5-ethylbarbital";196.23;-1.614;26;
644;"O=C1NC(=O)C(C)(CC=C)C(=O)N1";"5-Allyl-5-methylbarbital";182.2;-1.16;26;
645;"O=C1NC(=O)C(CC)(C(=O)N1)c1ccccc1";"5-Ethyl-5-phenylbarbital";232.26;-2.322;26;
646;"O=C1NC(=O)[C@H](N1)CC";"5-Ethylhydantoin";128.15;-0.06;25;
647;"O=C1NC(=O)C(C)(CC)C(=O)N1";"5-Methyl-5-ethylbarbituricacid";170.19;-1.228;26;
#648;"O=[N]([O-])C1C(=O)NC(=O)NC1=O";"5-Nitrobarbituricacid";173.1;-2.28;25;
649;"O=C1NC(=O)C(CC)(CCCC)C(=O)N1";"5-butyl-5-ethylbarbituricacid";212.28;-1.64;25;
650;"FC1=CNC(=O)NC1=O";"5-fluorouracil";130.09;-1.07;25;
651;"Oc1cccc2[nH0]cccc12";"5-hydroxyquinoline";145.17;-2.54;25;
652;"Cc1cc2c3ccccc3ccc2c2ccccc12";"6-Methylchrysene";242.33;-6.57;26;
653;"Nc1cc2c3ccccc3ccc2c2ccccc12";"6-aminochrysene";243.32;-6.2;25;
654;"Oc1ccc2[nH0]cccc2c1";"6-hydroxyquinoline";145.17;-2.16;25;
655;"Cc1c2ccccc2c(C)c2c3ccccc3ccc12";"7,12-dimethylbenz(a)anthracene";256.36;-7.02;25;
656;"Oc1cccc2ccc[nH0]c12";"8-quinolinol";145.17;-2.42;25;
657;"Cc1c2ccccc2c(C)c2ccccc12";"9,10-dimethylanthracene";206.3;-6.57;25;
658;"Cc1c2ccccc2cc2ccccc21";"9-methylanthracene";192.27;-5.89;25;
